problemType, makespan, GRASP, diff
j3036_3, 0.01, 0.77, 0.76
j3018_5, 0.02, 0.68, 0.66
j3043_1, 0.14, 0.81, 0.67
j3040_6, 0.01, 0.67, 0.66
j303_5, 0.05, 0.73, 0.6799999999999999
j3014_1, 7.23, 0.6, -6.630000000000001
j3035_4, 0.01, 0.73, 0.72
j3046_8, 0.6, 0.86, 0.26
j3023_4, 0.01, 0.75, 0.74
j3042_10, 0.01, 0.91, 0.9
j3020_3, 0.01, 0.67, 0.66
j3011_8, 0.01, 0.74, 0.73
j3022_1, 0.01, 0.65, 0.64
j3040_10, 0.01, 0.64, 0.63
j3031_8, 0.04, 0.68, 0.64
j307_9, 0.03, 0.75, 0.72
j3021_6, 0.7, 1.08, 0.3800000000000001
j3027_8, 0.03, 0.79, 0.76
j3042_4, 0.37, 0.76, 0.39
j301_7, 0.01, 0.72, 0.71
j3037_6, 0.06, 0.99, 0.9299999999999999
j3016_3, 0.01, 0.46, 0.45
j3038_5, 0.04, 0.91, 0.87
j3034_1, 0.01, 0.83, 0.82
j3015_4, 0.01, 0.55, 0.54
j3038_10, 0.03, 0.83, 0.7999999999999999
j3041_3, 0.21, 1.21, 1.0
j3040_2, 0.01, 0.77, 0.76
j3014_5, 0.2, 0.67, 0.47000000000000003
j303_1, 0.01, 0.72, 0.71
j3039_4, 0.02, 0.68, 0.66
j3018_1, 0.01, 0.63, 0.62
j3017_2, 0.02, 0.77, 0.75
j3036_7, 0.02, 0.67, 0.65
j3043_5, 0.46, 0.91, 0.45
j3026_9, 0.29, 0.57, 0.27999999999999997
j3020_7, 0.01, 0.51, 0.5
j3030_9, 2.11, 0.69, -1.42
j3021_10, 0.9, 0.98, 0.07999999999999996
j306_8, 0.36, 0.57, 0.20999999999999996
