projectName, alpha, makespan, duration;
j609_7,100,RND,114,1.21
j609_7,200,RND,114,2.47
j606_4,100,RND,72,0.8
j606_4,200,RND,72,1.6
j605_3,100,RND,77,1.0
j605_3,200,RND,80,1.99
j6035_10,100,RND,72,1.0
j6035_10,200,RND,72,1.99
j6032_3,100,RND,86,0.99
j6032_3,200,RND,86,1.95
j6013_6,100,RND,98,1.16
j6013_6,200,RND,97,2.25
j6047_1,100,RND,76,1.07
j6047_1,200,RND,76,2.12
j6048_2,100,RND,88,1.25
j6048_2,200,RND,88,2.51
j608_2,100,RND,62,0.73
j608_2,200,RND,62,1.49
j607_1,100,RND,78,0.85
j607_1,200,RND,78,1.69
j6011_4,100,RND,70,0.79
j6011_4,200,RND,70,1.55
j6030_1,100,RND,78,1.02
j6030_1,200,RND,74,2.04
j6045_3,100,RND,150,2.22
j6045_3,200,RND,155,4.44
j602_10,100,RND,69,0.75
j602_10,200,RND,69,1.46
j6023_8,100,RND,73,0.91
j6023_8,200,RND,73,1.79
j6046_4,100,RND,74,1.06
j6046_4,200,RND,74,2.11
j6037_10,100,RND,106,1.61
j6037_10,200,RND,108,3.23
j6012_3,100,RND,76,0.84
j6012_3,200,RND,76,1.7
j6033_6,100,RND,74,1.17
j6033_6,200,RND,71,2.33
j604_6,100,RND,72,0.85
j604_6,200,RND,72,1.71
j602_8,100,RND,70,0.8
j602_8,200,RND,67,1.6
j6035_8,100,RND,82,1.12
j6035_8,200,RND,82,2.25
j6025_6,100,RND,118,1.45
j6025_6,200,RND,118,2.9
j6026_1,100,RND,81,1.13
j6026_1,200,RND,82,2.32
j6029_2,100,RND,144,1.61
j6029_2,200,RND,142,3.21
j6018_9,100,RND,70,0.97
j6018_9,200,RND,70,1.94
j6019_8,100,RND,88,1.08
j6019_8,200,RND,88,2.16
j6028_3,100,RND,73,0.88
j6028_3,200,RND,73,1.77
j6024_7,100,RND,69,0.83
j6024_7,200,RND,69,1.66
j603_9,100,RND,64,0.85
j603_9,200,RND,64,1.69
j6034_9,100,RND,84,1.08
j6034_9,200,RND,84,2.17
j6032_7,100,RND,77,0.92
j6032_7,200,RND,77,1.84
j6013_2,100,RND,120,1.25
j6013_2,200,RND,119,2.53
j605_7,100,RND,80,1.1
j605_7,200,RND,79,1.91
j6048_6,100,RND,67,0.96
j6048_6,200,RND,67,1.92
j6047_5,100,RND,92,1.25
j6047_5,200,RND,94,2.49
j6022_9,100,RND,66,0.92
j6022_9,200,RND,66,1.84
j6044_2,100,RND,69,1.0
j6044_2,200,RND,69,2.0
j6013_10,100,RND,124,1.35
j6013_10,200,RND,123,2.7
j609_3,100,RND,107,1.19
j609_3,200,RND,108,2.4
j6010_5,100,RND,85,0.9
j6010_5,200,RND,85,1.79
j608_3,100,RND,80,0.75
j608_3,200,RND,80,1.5
j6011_5,100,RND,67,0.79
j6011_5,200,RND,66,1.57
j6045_2,100,RND,149,2.1
j6045_2,200,RND,147,4.2
j6046_5,100,RND,95,1.22
j6046_5,200,RND,96,2.43
j6023_9,100,RND,65,0.84
j6023_9,200,RND,65,1.69
j6012_2,100,RND,59,0.79
j6012_2,200,RND,59,1.56
j6033_7,100,RND,82,1.19
j6033_7,200,RND,81,2.38
j604_7,100,RND,68,0.8
j604_7,200,RND,68,1.6
j602_9,100,RND,66,0.83
j602_9,200,RND,66,1.64
j6035_9,100,RND,74,1.11
j6035_9,200,RND,74,2.21
j6025_7,100,RND,92,1.25
j6025_7,200,RND,89,2.57
j6017_10,100,RND,74,1.02
j6017_10,200,RND,74,2.02
j6029_3,100,RND,139,1.54
j6029_3,200,RND,137,3.09
j6018_8,100,RND,79,0.97
j6018_8,200,RND,79,1.94
j6033_10,100,RND,80,1.35
j6033_10,200,RND,81,2.68
j6019_9,100,RND,68,0.88
j6019_9,200,RND,68,1.76
j606_10,100,RND,76,0.92
j606_10,200,RND,76,1.82
j6027_1,100,RND,106,1.17
j6027_1,200,RND,107,2.36
j6028_2,100,RND,65,0.95
j6028_2,200,RND,65,1.87
j6024_6,100,RND,76,0.98
j6024_6,200,RND,76,2.03
j603_8,100,RND,53,0.67
j603_8,200,RND,53,1.35
j6034_8,100,RND,63,1.08
j6034_8,200,RND,63,2.16
j6032_6,100,RND,94,1.11
j6032_6,200,RND,94,2.23
j6013_3,100,RND,91,1.01
j6013_3,200,RND,92,2.02
j605_6,100,RND,79,1.06
j605_6,200,RND,77,2.09
j6022_8,100,RND,60,0.9
j6022_8,200,RND,60,1.75
j6047_4,100,RND,77,1.02
j6047_4,200,RND,77,2.07
j6048_7,100,RND,78,1.01
j6048_7,200,RND,78,2.01
j6044_3,100,RND,88,1.26
j6044_3,200,RND,88,2.52
j609_2,100,RND,97,1.04
j609_2,200,RND,93,2.06
j606_1,100,RND,63,0.82
j606_1,200,RND,61,1.63
j6031_1,100,RND,67,0.97
j6031_1,200,RND,66,1.97
j6010_4,100,RND,81,0.92
j6010_4,200,RND,81,1.84
j6046_1,100,RND,87,1.26
j6046_1,200,RND,86,2.53
j604_3,100,RND,59,0.91
j604_3,200,RND,59,1.81
j6012_6,100,RND,55,0.67
j6012_6,200,RND,55,1.35
j6033_3,100,RND,80,1.13
j6033_3,200,RND,82,2.25
j6011_1,100,RND,72,0.85
j6011_1,200,RND,72,1.69
j6030_4,100,RND,77,1.01
j6030_4,200,RND,77,2.02
j608_7,100,RND,63,0.81
j608_7,200,RND,63,1.61
j607_4,100,RND,64,0.76
j607_4,200,RND,64,1.52
j6045_6,100,RND,158,2.08
j6045_6,200,RND,159,4.16
j6043_8,100,RND,70,0.99
j6043_8,200,RND,70,2.05
j6026_4,100,RND,68,0.98
j6026_4,200,RND,68,1.95
j6029_7,100,RND,129,1.52
j6029_7,200,RND,124,3.04
j604_10,100,RND,78,0.89
j604_10,200,RND,78,1.79
j6031_10,100,RND,60,0.89
j6031_10,200,RND,59,1.78
j6039_9,100,RND,73,1.03
j6039_9,200,RND,73,2.06
j6014_8,100,RND,91,0.89
j6014_8,200,RND,89,1.78
j6025_3,100,RND,136,1.63
j6025_3,200,RND,129,3.24
j6015_10,100,RND,62,0.8
j6015_10,200,RND,62,1.6
j6024_2,100,RND,56,0.8
j6024_2,200,RND,56,1.61
j6015_9,100,RND,73,0.8
j6015_9,200,RND,73,1.59
j6038_8,100,RND,71,1.12
j6038_8,200,RND,71,2.23
j6028_6,100,RND,90,1.08
j6028_6,200,RND,90,2.14
j6027_5,100,RND,79,0.99
j6027_5,200,RND,79,2.0
j6042_9,100,RND,78,1.09
j6042_9,200,RND,77,2.19
j6044_7,100,RND,77,1.05
j6044_7,200,RND,77,2.14
j6031_5,100,RND,73,1.03
j6031_5,200,RND,73,2.08
j606_5,100,RND,79,0.82
j606_5,200,RND,79,1.64
j609_6,100,RND,112,1.25
j609_6,200,RND,121,2.52
j605_2,100,RND,97,1.25
j605_2,200,RND,106,2.5
