projectName, alpha, makespan, duration;
j9039_3,200,0.25,84,5.15
j9039_3,200,0.5,84,5.44
j9039_3,200,0.75,84,5.33
j9039_3,200,RND,84,5.5
j9027_5,100,0.25,106,3.19
j9027_5,100,0.5,105,2.88
j9027_5,100,0.75,100,2.95
j9027_5,100,RND,100,2.96
j9027_5,200,0.25,106,5.93
j9027_5,200,0.5,103,5.83
j9027_5,200,0.75,100,5.87
j9027_5,200,RND,100,5.88
j9016_9,100,0.25,67,1.9
j9016_9,100,0.5,67,1.86
j9016_9,100,0.75,67,1.85
j9016_9,100,RND,67,1.84
j9016_9,200,0.25,67,3.81
j9016_9,200,0.5,67,3.72
j9016_9,200,0.75,67,3.72
j9016_9,200,RND,67,5.43
j9029_2,100,0.25,127,7.41
j9029_2,100,0.5,133,4.06
j9029_2,100,0.75,130,3.83
j9029_2,100,RND,131,3.97
j9029_2,200,0.25,134,7.89
j9029_2,200,0.5,127,7.86
j9029_2,200,0.75,133,7.77
j9029_2,200,RND,134,7.72
j907_1,100,0.25,89,1.91
j907_1,100,0.5,89,2.05
j907_1,100,0.75,89,2.1
j907_1,100,RND,89,1.99
j907_1,200,0.25,89,3.94
j907_1,200,0.5,89,4.1
j907_1,200,0.75,89,4.2
j907_1,200,RND,89,4.1
j9035_8,100,0.25,86,2.93
j9035_8,100,0.5,86,2.88
j9035_8,100,0.75,86,2.89
j9035_8,100,RND,86,2.89
j9035_8,200,0.25,86,10.1
j9035_8,200,0.5,86,7.35
j9035_8,200,0.75,86,5.88
j9035_8,200,RND,86,5.97
j9011_2,100,0.25,105,2.22
j9011_2,100,0.5,104,2.26
j9011_2,100,0.75,103,2.25
j9011_2,100,RND,102,2.32
j9011_2,200,0.25,105,4.46
j9011_2,200,0.5,103,4.51
j9011_2,200,0.75,103,4.55
j9011_2,200,RND,101,4.49
j9018_9,100,0.25,80,2.6
j9018_9,100,0.5,80,2.54
j9018_9,100,0.75,80,2.75
j9018_9,100,RND,80,2.66
j9018_9,200,0.25,80,5.31
j9018_9,200,0.5,80,5.73
j9018_9,200,0.75,80,5.14
j9018_9,200,RND,80,5.18
